"-/-"	"2062/265K"	"2061/264K"	"2059/264K"	"2027/260K"
"2043/249K"	"-/-"	"1656/224K"	"1652/223K"	"1639/221K"
"2041/249K"	"1655/223K"	"-/-"	"1648/222K"	"1635/221K"
"2036/248K"	"1648/222K"	"1646/222K"	"-/-"	"1626/220K"
"2018/247K"	"1646/222K"	"1645/222K"	"1640/221K"	"-/-"
