"-/-"	"1021/138K"	"1027/139K"	"1033/139K"	"1232/152K"
"1020/138K"	"-/-"	"1017/137K"	"1024/138K"	"1224/151K"
"1022/138K"	"1015/137K"	"-/-"	"1026/139K"	"1228/152K"
"1027/139K"	"1019/138K"	"1024/138K"	"-/-"	"1232/152K"
"1223/158K"	"1217/157K"	"1223/158K"	"1230/159K"	"-/-"
