"-/-"	"1154/148K"	"1040/140K"	"1041/141K"	"1047/141K"
"1155/152K"	"-/-"	"1203/157K"	"1153/152K"	"1213/158K"
"1036/140K"	"1199/151K"	"-/-"	"1033/139K"	"1039/140K"
"1036/140K"	"1146/147K"	"1032/139K"	"-/-"	"1039/140K"
"1039/140K"	"1203/151K"	"1036/140K"	"1037/140K"	"-/-"
