{:beat=>0.000892, :phase=>0.000922, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>127087.0390625, :beat_zero=>127087.0390625}
{:beat=>-0.396038, :phase=>3.603992, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.5390625, :beat_zero=>127087.7421875}
{:beat=>0.210196, :phase=>0.210264, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.84375, :beat_zero=>127087.7421875}
{:beat=>1.000788, :phase=>1.000844, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.25, :beat_zero=>127087.7421875}
{:beat=>2.001492, :phase=>2.001548, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.75, :beat_zero=>127087.7421875}
{:beat=>3.000508, :phase=>3.000556, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.25, :beat_zero=>127087.7421875}
{:beat=>4.001322, :phase=>0.001372, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.7421875, :beat_zero=>127087.7421875}
{:beat=>5.002178, :phase=>1.002226, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.2421875, :beat_zero=>127087.7421875}
{:beat=>6.003328, :phase=>2.003382, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.7421875, :beat_zero=>127087.7421875}
{:beat=>7.002854, :phase=>3.002894, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.2421875, :beat_zero=>127087.7421875}
{:beat=>8.002738, :phase=>0.002788, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.7421875, :beat_zero=>127087.7421875}
{:beat=>9.001638, :phase=>1.00168, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.2421875, :beat_zero=>127087.7421875}
{:beat=>10.003152, :phase=>2.003204, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.7421875, :beat_zero=>127087.7421875}
{:beat=>11.000874, :phase=>3.00097, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.2421875, :beat_zero=>127087.7421875}
