{:beat=>0.000984, :phase=>0.001014, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>127086.7734375, :beat_zero=>127086.7734375}
{:beat=>-0.946346, :phase=>3.053706, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.2734375, :beat_zero=>127087.7421875}
{:beat=>-0.890162, :phase=>3.109892, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.296875, :beat_zero=>127087.7421875}
{:beat=>-0.778606, :phase=>3.22146, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.3515625, :beat_zero=>127087.7421875}
{:beat=>-0.553394, :phase=>3.446662, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.46875, :beat_zero=>127087.7421875}
{:beat=>-0.101058, :phase=>3.899004, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.6875, :beat_zero=>127087.7421875}
{:beat=>0.800968, :phase=>0.801022, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.140625, :beat_zero=>127087.7421875}
{:beat=>1.001948, :phase=>1.002002, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.25, :beat_zero=>127087.7421875}
{:beat=>2.002058, :phase=>2.002118, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.75, :beat_zero=>127087.7421875}
{:beat=>3.000892, :phase=>3.000924, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.25, :beat_zero=>127087.7421875}
{:beat=>4.002434, :phase=>0.002486, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.7421875, :beat_zero=>127087.7421875}
{:beat=>5.001154, :phase=>1.001226, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.2421875, :beat_zero=>127087.7421875}
{:beat=>6.00267, :phase=>2.002738, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.7421875, :beat_zero=>127087.7421875}
{:beat=>7.001488, :phase=>3.001544, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.2421875, :beat_zero=>127087.7421875}
{:beat=>8.002924, :phase=>0.00299, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.7421875, :beat_zero=>127087.7421875}
{:beat=>9.000916, :phase=>1.00097, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.2421875, :beat_zero=>127087.7421875}
{:beat=>10.00189, :phase=>2.001952, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.7421875, :beat_zero=>127087.7421875}
{:beat=>11.001554, :phase=>3.001622, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.2421875, :beat_zero=>127087.7421875}
{:beat=>12.000834, :phase=>0.000902, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.7421875, :beat_zero=>127087.7421875}
{:beat=>13.001134, :phase=>1.001186, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127094.2421875, :beat_zero=>127087.7421875}
{:beat=>14.00071, :phase=>2.000762, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127094.7421875, :beat_zero=>127087.7421875}
{:beat=>15.00202, :phase=>3.00207, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127095.2421875, :beat_zero=>127087.7421875}
{:beat=>16.00168, :phase=>0.001734, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127095.7421875, :beat_zero=>127087.7421875}
{:beat=>17.001924, :phase=>1.001978, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127096.2421875, :beat_zero=>127087.7421875}
{:beat=>18.001846, :phase=>2.001884, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127096.7421875, :beat_zero=>127087.7421875}
{:beat=>19.002538, :phase=>3.00259, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127097.2421875, :beat_zero=>127087.7421875}
{:beat=>20.00247, :phase=>0.002522, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127097.7421875, :beat_zero=>127087.7421875}
{:beat=>21.001154, :phase=>1.001208, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127098.2421875, :beat_zero=>127087.7421875}
{:beat=>22.001796, :phase=>2.001844, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127098.7421875, :beat_zero=>127087.7421875}
{:beat=>23.002052, :phase=>3.002108, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127099.2421875, :beat_zero=>127087.7421875}
{:beat=>24.00214, :phase=>0.002204, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127099.7421875, :beat_zero=>127087.7421875}
{:beat=>25.002744, :phase=>1.002786, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127100.2421875, :beat_zero=>127087.7421875}
{:beat=>26.000996, :phase=>2.00105, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127100.7421875, :beat_zero=>127087.7421875}
{:beat=>27.002288, :phase=>3.002342, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127101.25, :beat_zero=>127087.7421875}
{:beat=>28.00168, :phase=>0.001736, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127101.75, :beat_zero=>127087.7421875}
{:beat=>29.0011, :phase=>1.001158, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127102.25, :beat_zero=>127087.7421875}
{:beat=>30.00343, :phase=>2.00349, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127102.75, :beat_zero=>127087.7421875}
{:beat=>31.002284, :phase=>3.002348, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127103.25, :beat_zero=>127087.7421875}
{:beat=>32.001056, :phase=>0.001098, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127103.7421875, :beat_zero=>127087.7421875}
{:beat=>33.00245, :phase=>1.002518, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127104.2421875, :beat_zero=>127087.7421875}
{:beat=>34.002512, :phase=>2.002586, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127104.7421875, :beat_zero=>127087.7421875}
{:beat=>35.001862, :phase=>3.001926, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127105.2421875, :beat_zero=>127087.7421875}
{:beat=>36.002158, :phase=>0.00221, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127105.7421875, :beat_zero=>127087.7421875}
{:beat=>37.001684, :phase=>1.001722, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127106.2421875, :beat_zero=>127087.7421875}
{:beat=>38.001698, :phase=>2.001744, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127106.7421875, :beat_zero=>127087.7421875}
{:beat=>39.000788, :phase=>3.000826, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127107.2421875, :beat_zero=>127087.7421875}
{:beat=>40.00154, :phase=>0.001606, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127107.7421875, :beat_zero=>127087.7421875}
