{:beat=>0.00115, :phase=>0.001184, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>129158.859375, :beat_zero=>129158.859375}
{:beat=>1.838222, :phase=>1.838272, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.359375, :beat_zero=>129158.4375}
{:beat=>2.002402, :phase=>2.002454, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.4375, :beat_zero=>129158.4375}
{:beat=>3.001278, :phase=>3.001322, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.9375, :beat_zero=>129158.4375}
{:beat=>4.001736, :phase=>0.001804, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.4375, :beat_zero=>129158.4375}
{:beat=>5.003112, :phase=>1.00314, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.9453125, :beat_zero=>129158.4375}
{:beat=>6.000904, :phase=>2.000956, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.4375, :beat_zero=>129158.4375}
{:beat=>7.001632, :phase=>3.001696, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.9453125, :beat_zero=>129158.4375}
{:beat=>8.003796, :phase=>0.003848, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.4453125, :beat_zero=>129158.4375}
{:beat=>9.004526, :phase=>1.004592, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.9453125, :beat_zero=>129158.4375}
{:beat=>10.002334, :phase=>2.002364, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.4453125, :beat_zero=>129158.4375}
{:beat=>11.005652, :phase=>3.005714, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.9453125, :beat_zero=>129158.4375}
{:beat=>12.002022, :phase=>0.00207, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.4453125, :beat_zero=>129158.4375}
{:beat=>13.002116, :phase=>1.002168, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.9453125, :beat_zero=>129158.4375}
{:beat=>14.005104, :phase=>2.005156, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.4453125, :beat_zero=>129158.4375}
{:beat=>15.001424, :phase=>3.001476, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.9453125, :beat_zero=>129158.4375}
