{:beat=>0.00613, :phase=>0.006162, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>127086.484375, :beat_zero=>127086.484375}
{:beat=>2.481338, :phase=>2.481398, :playing?=>false, :tempo=>120.0, :peers=>3, :now=>127086.984375, :beat_zero=>127085.7421875}
{:beat=>3.0016, :phase=>3.001664, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.2421875, :beat_zero=>127085.7421875}
{:beat=>4.001684, :phase=>0.001736, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.75, :beat_zero=>127085.7421875}
{:beat=>5.001358, :phase=>1.001416, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.25, :beat_zero=>127085.7421875}
{:beat=>6.000876, :phase=>2.000954, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.75, :beat_zero=>127085.7421875}
{:beat=>7.000508, :phase=>3.000578, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.25, :beat_zero=>127085.7421875}
{:beat=>8.001202, :phase=>0.00125, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.7421875, :beat_zero=>127085.7421875}
{:beat=>9.001098, :phase=>1.00115, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.2421875, :beat_zero=>127085.7421875}
{:beat=>10.002692, :phase=>2.002782, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.7421875, :beat_zero=>127085.7421875}
{:beat=>11.003004, :phase=>3.003074, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.2421875, :beat_zero=>127085.7421875}
{:beat=>12.003534, :phase=>0.003586, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.7421875, :beat_zero=>127085.7421875}
{:beat=>13.00231, :phase=>1.002362, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.2421875, :beat_zero=>127085.7421875}
{:beat=>14.001912, :phase=>2.001974, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.7421875, :beat_zero=>127085.7421875}
{:beat=>15.001412, :phase=>3.001466, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.2421875, :beat_zero=>127085.7421875}
{:beat=>16.000856, :phase=>0.000924, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127093.7421875, :beat_zero=>127085.7421875}
{:beat=>17.001762, :phase=>1.001818, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127094.2421875, :beat_zero=>127085.7421875}
{:beat=>18.001352, :phase=>2.001392, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127094.7421875, :beat_zero=>127085.7421875}
{:beat=>19.002042, :phase=>3.002092, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127095.2421875, :beat_zero=>127085.7421875}
{:beat=>20.002888, :phase=>0.00294, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127095.7421875, :beat_zero=>127085.7421875}
{:beat=>21.002516, :phase=>1.002572, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127096.2421875, :beat_zero=>127085.7421875}
{:beat=>22.002462, :phase=>2.002516, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127096.7421875, :beat_zero=>127085.7421875}
