"-/-"	"1833/236K"	"1835/237K"	"1828/236K"	"1835/237K"
"1830/226K"	"-/-"	"1514/204K"	"1507/203K"	"1511/204K"
"1830/226K"	"1511/204K"	"-/-"	"1510/204K"	"1513/204K"
"1821/225K"	"1503/203K"	"1508/204K"	"-/-"	"1504/203K"
"1825/225K"	"1503/203K"	"1509/204K"	"1502/203K"	"-/-"
