"-/-"	"1935/248K"	"1941/249K"	"1894/244K"	"1892/244K"
"1933/235K"	"-/-"	"1549/209K"	"1559/210K"	"1547/209K"
"1936/236K"	"1547/209K"	"-/-"	"1559/210K"	"1547/209K"
"1887/233K"	"1554/210K"	"1557/210K"	"-/-"	"1555/210K"
"1883/231K"	"1539/208K"	"1542/208K"	"1553/210K"	"-/-"
