{:beat=>0.000976, :phase=>0.001008, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>127086.5, :beat_zero=>127086.5}
{:beat=>2.52587, :phase=>2.525902, :playing?=>false, :tempo=>120.0, :peers=>3, :now=>127087.0, :beat_zero=>127085.7421875}
{:beat=>3.001718, :phase=>3.00177, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.25, :beat_zero=>127085.7421875}
{:beat=>4.000972, :phase=>0.001024, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127087.7421875, :beat_zero=>127085.7421875}
{:beat=>5.001274, :phase=>1.001326, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.25, :beat_zero=>127085.7421875}
{:beat=>6.000704, :phase=>2.000782, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127088.75, :beat_zero=>127085.7421875}
{:beat=>7.001108, :phase=>3.001146, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.25, :beat_zero=>127085.7421875}
{:beat=>8.00175, :phase=>0.001804, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127089.7421875, :beat_zero=>127085.7421875}
{:beat=>9.001662, :phase=>1.001714, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.2421875, :beat_zero=>127085.7421875}
{:beat=>10.001886, :phase=>2.00193, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127090.7421875, :beat_zero=>127085.7421875}
{:beat=>11.001866, :phase=>3.001918, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.2421875, :beat_zero=>127085.7421875}
{:beat=>12.00192, :phase=>0.001988, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127091.7421875, :beat_zero=>127085.7421875}
{:beat=>13.001444, :phase=>1.001508, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.2421875, :beat_zero=>127085.7421875}
{:beat=>14.00241, :phase=>2.002472, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127092.7421875, :beat_zero=>127085.7421875}
