"-/-"	"1939/252K"	"1984/257K"	"2017/261K"	"2023/261K"
"1935/243K"	"-/-"	"1668/225K"	"1673/226K"	"1666/225K"
"1976/246K"	"1665/225K"	"-/-"	"1682/227K"	"1674/226K"
"1994/247K"	"1655/223K"	"1666/225K"	"-/-"	"1663/225K"
"2013/249K"	"1659/224K"	"1668/225K"	"1675/226K"	"-/-"
