{:beat=>0.000736, :phase=>0.00076, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>129158.03125, :beat_zero=>129158.03125}
{:beat=>0.171772, :phase=>0.171814, :playing?=>false, :tempo=>120.0, :peers=>1, :now=>129158.53125, :beat_zero=>129158.4375}
{:beat=>1.002806, :phase=>1.002874, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129158.9375, :beat_zero=>129158.4375}
{:beat=>2.00127, :phase=>2.001322, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.4375, :beat_zero=>129158.4375}
{:beat=>3.00194, :phase=>3.001992, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.9375, :beat_zero=>129158.4375}
{:beat=>4.001018, :phase=>0.001084, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.4375, :beat_zero=>129158.4375}
{:beat=>5.003244, :phase=>1.003278, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.9453125, :beat_zero=>129158.4375}
{:beat=>6.000702, :phase=>2.000776, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.4375, :beat_zero=>129158.4375}
{:beat=>7.001582, :phase=>3.00165, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.9453125, :beat_zero=>129158.4375}
{:beat=>8.002288, :phase=>0.00236, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.4453125, :beat_zero=>129158.4375}
{:beat=>9.003218, :phase=>1.003288, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.9453125, :beat_zero=>129158.4375}
{:beat=>10.001054, :phase=>2.001116, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.4453125, :beat_zero=>129158.4375}
{:beat=>11.00502, :phase=>3.005088, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.9453125, :beat_zero=>129158.4375}
{:beat=>12.00155, :phase=>0.0016, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.4453125, :beat_zero=>129158.4375}
{:beat=>13.001632, :phase=>1.001686, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.9453125, :beat_zero=>129158.4375}
{:beat=>14.004628, :phase=>2.004664, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.4453125, :beat_zero=>129158.4375}
{:beat=>15.002014, :phase=>3.00207, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.9453125, :beat_zero=>129158.4375}
{:beat=>16.000726, :phase=>0.00078, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.4453125, :beat_zero=>129158.4375}
{:beat=>17.004318, :phase=>1.004386, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.9453125, :beat_zero=>129158.4375}
{:beat=>18.000862, :phase=>2.000908, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129167.4453125, :beat_zero=>129158.4375}
{:beat=>19.000836, :phase=>3.000884, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129167.9453125, :beat_zero=>129158.4375}
{:beat=>20.002686, :phase=>0.002732, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129168.4375, :beat_zero=>129158.4375}
{:beat=>21.001928, :phase=>1.001976, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129168.9375, :beat_zero=>129158.4375}
