"-/-"	"2043/262K"	"2037/262K"	"2051/264K"	"2039/262K"
"2030/248K"	"-/-"	"1630/220K"	"1648/222K"	"1635/221K"
"2031/249K"	"1638/221K"	"-/-"	"1653/223K"	"1639/221K"
"2032/249K"	"1641/222K"	"1637/221K"	"-/-"	"1642/222K"
"2029/249K"	"1637/221K"	"1634/221K"	"1652/223K"	"-/-"
