"-/-"	"1617/212K"	"1620/212K"	"1628/213K"	"1624/213K"
"1605/205K"	"-/-"	"1423/192K"	"1427/193K"	"1428/193K"
"1604/205K"	"1420/192K"	"-/-"	"1429/193K"	"1428/193K"
"1611/205K"	"1424/192K"	"1425/192K"	"-/-"	"1431/193K"
"1607/205K"	"1423/192K"	"1424/192K"	"1431/193K"	"-/-"
