"-/-"	"1339/165K"	"1096/148K"	"1102/149K"	"1112/150K"
"1339/173K"	"-/-"	"1321/171K"	"1286/167K"	"1341/173K"
"1092/147K"	"1317/163K"	"-/-"	"1095/148K"	"1104/149K"
"1096/148K"	"1284/161K"	"1094/148K"	"-/-"	"1109/150K"
"1101/149K"	"1332/165K"	"1098/148K"	"1105/149K"	"-/-"
