{:beat=>0.000722, :phase=>0.000748, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>129158.4375, :beat_zero=>129158.4375}
{:beat=>1.001936, :phase=>1.00199, :playing?=>false, :tempo=>120.0, :peers=>3, :now=>129158.9375, :beat_zero=>129158.4375}
{:beat=>2.001812, :phase=>2.001862, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.4375, :beat_zero=>129158.4375}
{:beat=>3.002264, :phase=>3.00231, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.9375, :beat_zero=>129158.4375}
{:beat=>4.00228, :phase=>0.002342, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.4375, :beat_zero=>129158.4375}
{:beat=>5.003538, :phase=>1.003572, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.9453125, :beat_zero=>129158.4375}
{:beat=>6.001532, :phase=>2.001602, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.4375, :beat_zero=>129158.4375}
{:beat=>7.000678, :phase=>3.000816, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.9375, :beat_zero=>129158.4375}
{:beat=>8.002936, :phase=>0.003004, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.4453125, :beat_zero=>129158.4375}
{:beat=>9.00382, :phase=>1.003882, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.9453125, :beat_zero=>129158.4375}
{:beat=>10.000584, :phase=>2.00062, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.4453125, :beat_zero=>129158.4375}
{:beat=>11.006244, :phase=>3.006312, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.9453125, :beat_zero=>129158.4375}
{:beat=>12.001768, :phase=>0.001808, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.4453125, :beat_zero=>129158.4375}
{:beat=>13.002604, :phase=>1.002654, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.9453125, :beat_zero=>129158.4375}
{:beat=>14.004812, :phase=>2.004878, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.4453125, :beat_zero=>129158.4375}
{:beat=>15.001388, :phase=>3.00144, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.9453125, :beat_zero=>129158.4375}
{:beat=>16.001706, :phase=>0.001758, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.4453125, :beat_zero=>129158.4375}
