{:beat=>0.000726, :phase=>0.00075, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>129158.2578125, :beat_zero=>129158.2578125}
{:beat=>0.641342, :phase=>0.641378, :playing?=>false, :tempo=>120.0, :peers=>3, :now=>129158.7578125, :beat_zero=>129158.4375}
{:beat=>1.002078, :phase=>1.002142, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129158.9375, :beat_zero=>129158.4375}
{:beat=>2.001812, :phase=>2.001866, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.4375, :beat_zero=>129158.4375}
{:beat=>3.001272, :phase=>3.00133, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.9375, :beat_zero=>129158.4375}
{:beat=>4.001686, :phase=>0.001754, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.4375, :beat_zero=>129158.4375}
{:beat=>5.002794, :phase=>1.00283, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.9453125, :beat_zero=>129158.4375}
{:beat=>6.002318, :phase=>2.002366, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.4453125, :beat_zero=>129158.4375}
{:beat=>7.002388, :phase=>3.002448, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.9453125, :beat_zero=>129158.4375}
{:beat=>8.002288, :phase=>0.00236, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.4453125, :beat_zero=>129158.4375}
{:beat=>9.003218, :phase=>1.003288, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.9453125, :beat_zero=>129158.4375}
{:beat=>10.000644, :phase=>2.000684, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.4453125, :beat_zero=>129158.4375}
{:beat=>11.005648, :phase=>3.005704, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.9453125, :beat_zero=>129158.4375}
{:beat=>12.001468, :phase=>0.001506, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.4453125, :beat_zero=>129158.4375}
{:beat=>13.002168, :phase=>1.00222, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.9453125, :beat_zero=>129158.4375}
{:beat=>14.00558, :phase=>2.00565, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.4453125, :beat_zero=>129158.4375}
{:beat=>15.002848, :phase=>3.003508, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.9453125, :beat_zero=>129158.4375}
{:beat=>16.001256, :phase=>0.00131, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.4453125, :beat_zero=>129158.4375}
{:beat=>17.00384, :phase=>1.003916, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.9453125, :beat_zero=>129158.4375}
{:beat=>18.00084, :phase=>2.000884, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129167.4453125, :beat_zero=>129158.4375}
{:beat=>19.001888, :phase=>3.00193, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129167.9453125, :beat_zero=>129158.4375}
{:beat=>20.001692, :phase=>0.001742, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129168.4375, :beat_zero=>129158.4375}
{:beat=>21.001754, :phase=>1.00181, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129168.9375, :beat_zero=>129158.4375}
{:beat=>22.000666, :phase=>2.00073, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129169.4375, :beat_zero=>129158.4375}
{:beat=>23.004746, :phase=>3.004798, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129169.9375, :beat_zero=>129158.4375}
{:beat=>24.000796, :phase=>0.000868, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129170.4375, :beat_zero=>129158.4375}
{:beat=>25.001472, :phase=>1.001542, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129170.9375, :beat_zero=>129158.4375}
{:beat=>26.00056, :phase=>2.00062, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129171.4375, :beat_zero=>129158.4375}
{:beat=>27.000986, :phase=>3.001022, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129171.9375, :beat_zero=>129158.4375}
{:beat=>28.004336, :phase=>0.004388, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129172.4375, :beat_zero=>129158.4375}
{:beat=>29.00105, :phase=>1.001124, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129172.9375, :beat_zero=>129158.4375}
{:beat=>30.004812, :phase=>2.004864, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129173.4453125, :beat_zero=>129158.4375}
