{:beat=>0.00093, :phase=>0.00096, :playing?=>false, :tempo=>120.0, :peers=>0, :now=>129158.5546875, :beat_zero=>129158.5546875}
{:beat=>1.227092, :phase=>1.227144, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.0546875, :beat_zero=>129158.4375}
{:beat=>2.002408, :phase=>2.00246, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.4375, :beat_zero=>129158.4375}
{:beat=>3.002968, :phase=>3.00302, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129159.9375, :beat_zero=>129158.4375}
{:beat=>4.000798, :phase=>0.000866, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.4375, :beat_zero=>129158.4375}
{:beat=>5.002798, :phase=>1.00283, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129160.9453125, :beat_zero=>129158.4375}
{:beat=>6.001688, :phase=>2.001756, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.4375, :beat_zero=>129158.4375}
{:beat=>7.000954, :phase=>3.001014, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129161.9375, :beat_zero=>129158.4375}
{:beat=>8.002978, :phase=>0.003046, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.4453125, :beat_zero=>129158.4375}
{:beat=>9.003862, :phase=>1.003924, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129162.9453125, :beat_zero=>129158.4375}
{:beat=>10.001008, :phase=>2.0011, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.4453125, :beat_zero=>129158.4375}
{:beat=>11.004974, :phase=>3.005042, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129163.9453125, :beat_zero=>129158.4375}
{:beat=>12.002196, :phase=>0.002232, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.4453125, :beat_zero=>129158.4375}
{:beat=>13.001586, :phase=>1.00164, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129164.9453125, :beat_zero=>129158.4375}
{:beat=>14.004168, :phase=>2.004238, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.4453125, :beat_zero=>129158.4375}
{:beat=>15.002084, :phase=>3.00224, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129165.9453125, :beat_zero=>129158.4375}
{:beat=>16.00068, :phase=>0.000734, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.4453125, :beat_zero=>129158.4375}
{:beat=>17.00467, :phase=>1.004718, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129166.9453125, :beat_zero=>129158.4375}
{:beat=>18.00121, :phase=>2.00125, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129167.4453125, :beat_zero=>129158.4375}
{:beat=>19.001272, :phase=>3.00131, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129167.9453125, :beat_zero=>129158.4375}
{:beat=>20.002724, :phase=>0.002776, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129168.4375, :beat_zero=>129158.4375}
{:beat=>21.002644, :phase=>1.002676, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129168.9375, :beat_zero=>129158.4375}
{:beat=>22.001448, :phase=>2.001512, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129169.4375, :beat_zero=>129158.4375}
{:beat=>23.004668, :phase=>3.00471, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129169.9375, :beat_zero=>129158.4375}
{:beat=>24.000662, :phase=>0.000716, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129170.4375, :beat_zero=>129158.4375}
{:beat=>25.002184, :phase=>1.00224, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129170.9375, :beat_zero=>129158.4375}
{:beat=>26.001904, :phase=>2.001972, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129171.4375, :beat_zero=>129158.4375}
{:beat=>27.000396, :phase=>3.000434, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129171.9375, :beat_zero=>129158.4375}
{:beat=>28.003932, :phase=>0.003984, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129172.4375, :beat_zero=>129158.4375}
{:beat=>29.001884, :phase=>1.00195, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129172.9375, :beat_zero=>129158.4375}
{:beat=>30.004766, :phase=>2.004818, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129173.4453125, :beat_zero=>129158.4375}
{:beat=>31.002998, :phase=>3.003048, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129173.9375, :beat_zero=>129158.4375}
{:beat=>32.005514, :phase=>0.005566, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129174.4453125, :beat_zero=>129158.4375}
{:beat=>33.00201, :phase=>1.002064, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129174.9375, :beat_zero=>129158.4375}
{:beat=>34.005622, :phase=>2.005672, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129175.4453125, :beat_zero=>129158.4375}
{:beat=>35.001352, :phase=>3.001392, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129175.9375, :beat_zero=>129158.4375}
{:beat=>36.001402, :phase=>0.001472, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129176.4453125, :beat_zero=>129158.4375}
{:beat=>37.002884, :phase=>1.002938, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129176.9453125, :beat_zero=>129158.4375}
{:beat=>38.001294, :phase=>2.001348, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129177.4453125, :beat_zero=>129158.4375}
{:beat=>39.001664, :phase=>3.001718, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129177.9453125, :beat_zero=>129158.4375}
{:beat=>40.005554, :phase=>0.005606, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129178.4453125, :beat_zero=>129158.4375}
{:beat=>41.003402, :phase=>1.003458, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129178.9453125, :beat_zero=>129158.4375}
{:beat=>42.002878, :phase=>2.002926, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>129179.4453125, :beat_zero=>129158.4375}
