{:beat=>44.002026, :phase=>0.002084, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127107.7421875, :beat_zero=>127085.7421875}
{:beat=>45.002798, :phase=>1.00283, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127108.2421875, :beat_zero=>127085.7421875}
{:beat=>46.000798, :phase=>2.000854, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127108.7421875, :beat_zero=>127085.7421875}
{:beat=>47.002024, :phase=>3.002078, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127109.2421875, :beat_zero=>127085.7421875}
{:beat=>48.001618, :phase=>0.001658, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127109.7421875, :beat_zero=>127085.7421875}
{:beat=>49.001804, :phase=>1.00186, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127110.2421875, :beat_zero=>127085.7421875}
{:beat=>50.003704, :phase=>2.003758, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127110.7421875, :beat_zero=>127085.7421875}
{:beat=>51.00277, :phase=>3.00284, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127111.2421875, :beat_zero=>127085.7421875}
{:beat=>52.003452, :phase=>0.003506, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127111.7421875, :beat_zero=>127085.7421875}
{:beat=>53.0012, :phase=>1.001254, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127112.2421875, :beat_zero=>127085.7421875}
{:beat=>54.002446, :phase=>2.00249, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127112.7421875, :beat_zero=>127085.7421875}
{:beat=>55.000786, :phase=>3.000854, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127113.2421875, :beat_zero=>127085.7421875}
{:beat=>56.004454, :phase=>0.004522, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127113.75, :beat_zero=>127085.7421875}
{:beat=>57.001874, :phase=>1.001928, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127114.2421875, :beat_zero=>127085.7421875}
{:beat=>58.00298, :phase=>2.00303, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127114.75, :beat_zero=>127085.7421875}
{:beat=>59.001224, :phase=>3.001266, :playing?=>false, :tempo=>120.0, :peers=>4, :now=>127115.2421875, :beat_zero=>127085.7421875}
